uid,startTime,aqara_chair,aqara_cleaner,aqara_door,aqara_fridge,aqara_microwave,aqara_motion,aqara_tv,aqara_washer,aqara_brightness_mean,aqara_brightness_min,aqara_brightness_max,aqara_air_pressure_mean,aqara_air_pressure_min,aqara_air_pressure_max,aqara_temperature_mean,aqara_temperature_min,aqara_temperature_max,aqara_humidity_mean,aqara_humidity_min,aqara_humidity_max
9.0,1684543431080.0,27,,3,3,,77,,6,38.156938,0.0,110.0,100672.45614,100500.0,100870.0,2478.076923,2463.0,2506.0,5714.615385,5500.0,6551.0
8.0,1684606702709.0,1,8,,,5,13,,,117.135,12.0,932.0,100279.090909,100100.0,100520.0,2454.583333,2326.0,2532.0,5353.615385,5123.0,5542.0
5.0,1684639169371.0,,,,1,,11,,,32.7,0.0,118.0,100806.0,100700.0,100860.0,2628.644444,2463.0,2728.0,5559.192308,4771.0,5974.0
11.0,1684943405790.0,,19,7,,1,,,,140.872083,0.0,351.0,101347.80303,101200.0,101580.0,2698.571429,2678.0,2726.0,4206.392857,3930.0,4933.0
3.0,1685533924021.0,55,,,1,,53,,,169.513194,0.0,375.0,100983.333333,100900.0,101120.0,2759.869792,2547.0,2879.0,6587.464286,6103.0,6869.0
3.0,1686135166693.0,113,,,4,,,,,101.333333,66.0,133.0,,,,2750.285714,2592.0,2908.0,5858.5,5796.0,5921.0
16.0,1686511682504.0,,,,,,,,,,,,,,,,,,,,
11.0,1684016349145.0,,,,,,,0.0,,107.494872,0.0,222.0,100972.083333,100800.0,101220.0,2655.653846,2630.0,2685.0,4101.214286,3822.0,4561.0
20.0,1684224238016.0,2,,6,,,,,,88.857143,0.0,347.0,100662.058824,100500.0,100790.0,2349.0,2281.0,2439.0,5342.428571,5157.0,5614.0
4.0,1684946658645.0,2,,,1,,23,,,146.289699,22.0,253.0,101340.75,101200.0,101570.0,2523.7,2473.0,2569.0,5483.3,5038.0,6263.0
19.0,1685018862283.0,7,,3,,,30,6.209999999999999,,22.147222,0.0,158.0,101447.54386,101400.0,101590.0,2521.866667,2480.0,2573.0,5001.307692,4734.0,5331.0
8.0,1685196446718.0,,,,,2,114,,,47.34359,0.0,734.0,101106.491228,101000.0,101180.0,2334.6,2197.0,2435.0,4936.538462,4693.0,5244.0
9.0,1685368559327.0,,,,,,184,,,21.810185,0.0,113.0,100801.958333,100700.0,100960.0,2569.928571,2547.0,2588.0,7355.461538,7205.0,7467.0
4.0,1686057342843.0,13,,,1,,,,2,116.388823,20.0,261.0,100807.698413,100600.0,101020.0,2669.125,2615.0,2704.0,5738.615385,5347.0,6001.0
3.0,1686578991382.0,,,,,,,,,,,,,,,,,,,,
4.0,1683630627471.0,,,,,,,,,,,,,,,,,,,,
4.0,1683894699300.0,1,,,,,11,,,105.093056,13.0,226.0,101744.561403,101690.0,101810.0,2355.615385,2333.0,2382.0,6395.846154,6272.0,6611.0
17.0,1683822001139.0,,,,,,,,,,,,,,,,,,,,
10.0,1683909870885.0,33,,2,2,,147,,,78.716667,2.0,249.0,101287.105263,101100.0,101460.0,2275.166667,2239.0,2298.0,6156.333333,5924.0,6262.0
3.0,1684771440535.0,13,,,3,,35,,,54.03096,0.0,197.0,100674.526316,100500.0,100970.0,2740.538462,2687.0,2792.0,6589.615385,6526.0,6692.0
17.0,1685011344703.0,5,,3,,,87,2.3200000000000003,,24.066667,0.0,108.0,101377.254902,101300.0,101510.0,2739.461538,2723.0,2768.0,5236.714286,4456.0,5516.0
19.0,1685100030552.0,4,2,2,,,1,7.250000000000001,,67.574346,0.0,164.0,101608.690476,101500.0,101720.0,2541.416667,2486.0,2580.0,6430.636364,6258.0,6903.0
3.0,1685165290166.0,51,,,3,,45,,,66.651515,0.0,180.0,101698.333333,101600.0,101780.0,2656.161765,2455.0,2756.0,6232.666667,5440.0,6701.0
8.0,1685206580286.0,,,,2,2,17,,,53.886088,10.0,177.0,100844.75,100700.0,101090.0,2485.076923,2446.0,2578.0,5470.066667,5131.0,5933.0
8.0,1685216713111.0,,,,2,2,17,,,53.886088,10.0,177.0,100844.75,100700.0,101090.0,2485.076923,2446.0,2578.0,5470.066667,5131.0,5933.0
3.0,1685255047944.0,58,,,4,,110,,,50.113757,0.0,166.0,101257.857143,101100.0,101390.0,2702.333333,2485.0,2756.0,6332.1,5457.0,6919.0
4.0,1685437441103.0,1,,,,,3,,,89.965703,7.0,241.0,101006.944444,100900.0,101100.0,2496.666667,2457.0,2539.0,7026.785714,6933.0,7099.0
11.0,1685707421079.0,,4,8,,2,,6.360000000000001,1,150.897826,0.0,531.0,100168.5,100100.0,100280.0,2883.444444,2857.0,2921.0,5600.888889,5343.0,5762.0
