uid,startTime,aqara_chair_before_12h,aqara_chair_before_24h,aqara_cleaner_before_12h,aqara_cleaner_before_24h,aqara_door_before_12h,aqara_door_before_24h,aqara_fridge_before_12h,aqara_fridge_before_24h,aqara_microwave_before_12h,aqara_microwave_before_24h,aqara_motion_before_12h,aqara_motion_before_24h,aqara_tv_before_12h,aqara_tv_before_24h,aqara_washer_before_12h,aqara_washer_before_24h
3.0,1685533924021.0,55,,,,,,1,,,,53,,,,,
3.0,1686135166693.0,113,134,,3,,,4,3,,,,10,,,,
5.0,1684639169371.0,,15,,,,,1,,,,11,11,,,,1
8.0,1684606702709.0,1,2,8,,,,,,5,2,13,2,,,,
9.0,1684543431080.0,27,2,,3,3,2,3,,,,77,30,,,6,
11.0,1684943405790.0,,,19,,7,1,,,1,3,,,,,,
16.0,1686511682504.0,,,,,,,,,,,,,,,,
3.0,1686578991382.0,,,,,,,,,,,,,,,,
4.0,1684946658645.0,2,,,,,,1,1,,,23,13,,,,
4.0,1686057342843.0,13,42,,,,,1,2,,2,,,,,2,5
8.0,1685196446718.0,,,,,,,,,2,1,114,16,,,,
9.0,1685368559327.0,,82,,3,,5,,8,,,184,425,,,,
11.0,1684016349145.0,,,,,,3,,,,,,,0.0,,,
19.0,1685018862283.0,7,12,,4,3,1,,2,,2,30,35,6.209999999999999,6.200000000000001,,2
20.0,1684224238016.0,2,96,,,6,1,,11,,2,,,,,,
1.0,1686361515449.0,,4,,,,,,6,,2,,,,64.28,,
2.0,1686147900661.0,,,,,,,,,,,,,,,,
3.0,1684771440535.0,13,85,,,,,3,5,,,35,236,,,,
3.0,1685165290166.0,51,24,,,,,3,5,,,45,11,,,,
3.0,1685255047944.0,58,104,,10,,,4,2,,,110,109,,,,
4.0,1683630627471.0,,,,,,,,,,,,,,,,
4.0,1683894699300.0,1,,,,,,,,,,11,,,,,
4.0,1685437441103.0,1,13,,16,,,,,,,3,53,,,,
8.0,1685206580286.0,,,,,,,2,,2,2,17,114,,,,
8.0,1685216713111.0,,,,,,,2,,2,2,17,114,,,,
10.0,1683909870885.0,33,20,,,2,1,2,,,,147,185,,,,
11.0,1685707421079.0,,,4,,8,1,,,2,,,,6.360000000000001,6.230000000000001,1,
13.0,1685800742121.0,,11,,13,1,3,2,7,,2,39,259,,,,
15.0,1686051283670.0,,,14,1,,,,,,,,,25.48,4.920000000000001,,
17.0,1683822001139.0,,,,,,,,,,,,,,,,
17.0,1685011344703.0,5,5,,,3,1,,,,,87,48,2.3200000000000003,2.2600000000000007,,
19.0,1685100030552.0,4,9,2,2,2,3,,5,,2,1,22,7.250000000000001,6.560000000000001,,1
8.0,1685369993699.0,73,90,,4,,,,,,,179,156,,,,
11.0,1685033683654.0,,,,,2,3,,,,,,,6.38,44.78,,
15.0,1685105641685.0,46,59,,,2,2,,,,,174,138,6.07,20.57,,
15.0,1686499303178.0,,,,,,,,,,,,,,,,
1.0,1685113037787.0,1,1,,,,,9,,,2,1,,198.88,4.99,,
4.0,1684836025233.0,12,8,,,,,1,2,,5,15,43,,,,
11.0,1685157892035.0,,,,,2,3,,,,,,,6.260000000000001,6.72,,1
11.0,1685759608503.0,,,8,4,16,8,1,,2,2,181,,6.789999999999999,6.360000000000001,,1
15.0,1685372188091.0,37,77,,6,,2,,,1,2,228,268,93.1,16.85,3,5
15.0,1685636698878.0,59,32,,,3,,,,,,104,109,6.080000000000001,6.190000000000002,2,1
9.0,1686054769346.0,,18,,,1,1,1,3,7,1,54,20,,,,
10.0,1684946680541.0,,18,,3,,2,,,,,,103,,,,
10.0,1686054739405.0,2,30,1,1,2,7,,4,,,96,123,,,,3
15.0,1686242637474.0,48,9,,,1,1,,,,,125,65,4.9,4.83,,
15.0,1686583279457.0,,,,,,,,,,,,,,,,
17.0,1684248942490.0,9,9,,,2,4,,5,,,83,81,2.1,2.2600000000000007,,
17.0,1684579392652.0,4,,,,2,,1,,,,31,,2.3400000000000007,2.36,,
17.0,1685969519214.0,,18,,,1,5,1,2,,,9,121,2.4800000000000004,2.370000000000001,,
17.0,1686237852403.0,45,1,18,,1,8,10,4,,,85,23,2.38,2.3600000000000003,,
3.0,1686297672116.0,124,7,,,,,10,2,,,,,,,,
4.0,1685373849949.0,13,2,16,,,,,1,,,53,21,,,,
7.0,1684654782084.0,3,12,1,18,3,10,,17,,,39,179,,,,10
8.0,1685400235406.0,25,73,,,,,,,,,55,179,,,,
10.0,1685205929288.0,18,22,,3,2,1,11,4,4,,189,232,,,,2
11.0,1684852676764.0,,,,10,4,5,,,,,,,,,,
11.0,1686154410894.0,,,2,,6,1,,,3,,92,78,,0.0,,
12.0,1685891228245.0,,,12,2,,,,,11,,209,58,,,2,
13.0,1685704057599.0,3,4,1,,,1,1,5,2,,118,69,,,,
17.0,1686243256228.0,45,1,18,,1,8,10,4,,,85,23,2.38,2.3600000000000003,,
17.0,1686396427977.0,,,,,,,,,,,,,,0.27,,
20.0,1684154239497.0,12,87,,,,2,3,10,,17,,,,,,
20.0,1684495920883.0,11,103,2,2,30,14,4,27,,6,,,,,10,1
20.0,1686025319451.0,,,,,3,5,7,9,,5,,,,,,
9.0,1684418155513.0,7,34,,,1,1,,5,,,38,43,,,,
9.0,1684494529481.0,2,25,3,,2,1,,1,,,30,44,,,,
10.0,1686242660757.0,10,10,,2,1,2,3,,,,37,95,,,5,
11.0,1683794612341.0,,,,,,,,,,,,,,,,
11.0,1684487409463.0,,,,4,6,1,,,,,,1,,0.0,,
17.0,1686059276959.0,13,13,,1,,2,7,4,,,88,74,2.4800000000000004,2.550000000000001,,
17.0,1686150668134.0,21,7,,,1,3,3,,,,156,76,2.6000000000000005,2.37,,
1.0,1685362088569.0,,4,,,,,,2,,,,,4.360000000000001,4.220000000000001,,
5.0,1685269233513.0,6,1,,,,,1,,1,,,,,,,
8.0,1685308193650.0,90,6,4,,,,,,,,156,89,,,,
8.0,1686167752908.0,10,30,,,,,,,,,13,46,,,,
15.0,1683897659316.0,40,,,,3,,1,,,,139,,,,,
17.0,1685535851460.0,,14,2,1,1,2,2,1,,,26,151,2.42,2.4300000000000006,,
19.0,1685175466824.0,,,1,4,,1,,,,,3,10,6.119999999999999,6.280000000000002,,
20.0,1686631492063.0,,,,,,,,,,,,,,,,
2.0,1683964971755.0,,2,,2,,3,,2,,,17,14,,,,
4.0,1684941617995.0,2,,,,,,1,1,,,23,13,,,,
5.0,1684989458485.0,7,,,4,,,1,,2,,,,,,,
9.0,1686049728902.0,,18,,,1,1,1,3,7,1,54,20,,,,
12.0,1686315903877.0,,,,1,,,,,,,45,38,,,,
20.0,1686022292196.0,,,,,3,5,7,9,,5,,,,,,
1.0,1685626328477.0,,2,,,,,6,8,2,4,,,4.57,4.49,,
4.0,1684648562496.0,2,23,,,,,,,,,7,39,,,,2
6.0,1683817628616.0,,,,,,,,,,,,,,,,
11.0,1685527054679.0,,,,,1,6,,1,1,,,,6.539999999999999,6.28,,
15.0,1686576959136.0,,,,,,,,,,,,,,,,
19.0,1685356360541.0,,19,,2,,2,,5,,5,,31,7.18,7.630000000000002,,
6.0,1686510522528.0,,,,,,,,,,,,,,,,
7.0,1683714476697.0,,,,,,,,,,,,,,,,
10.0,1685119523313.0,28,58,9,1,3,8,7,5,,,116,238,,,14,
15.0,1685552760296.0,40,38,,,1,1,,,,,65,103,21.949999999999992,6.390000000000001,3,
15.0,1686585905369.0,,,,,,,,,,,,,,,,
17.0,1685293176933.0,32,6,,,8,1,5,1,,,264,59,2.41,2.380000000000001,,
19.0,1684488411752.0,7,3,,,,1,3,,7,,,15,6.67,6.210000000000001,,
1.0,1684311365543.0,,,1,,,,6,,,,1,,4.72,5.04,,
3.0,1685260529349.0,58,104,,10,,,4,2,,,110,109,,,,
4.0,1685094207057.0,1,2,,,,,1,1,,,11,29,,,,
8.0,1685186366325.0,,,,,,,,,2,1,114,16,,,,
9.0,1683894699377.0,5,,,,1,,,,,,23,,,,,
10.0,1685700213474.0,34,1,1,,2,2,3,,,,150,3,,,,
11.0,1685845195559.0,,,,1,2,1,1,,8,2,197,71,6.490000000000001,6.289999999999999,,
14.0,1686150581899.0,,,,,,,,,,,17,26,4.9,4.88,,
15.0,1686054370912.0,,,14,1,,,,,,,,,25.48,4.920000000000001,,
17.0,1685972573963.0,,18,,,1,5,1,2,,,9,121,2.4800000000000004,2.370000000000001,,
4.0,1683737067360.0,,,,,,,,,,,,,,,,
4.0,1686240158938.0,44,1,,,,,,,,,,,,,3,1
10.0,1686062567726.0,2,30,1,1,2,7,,4,,,96,123,,,,3
11.0,1683940055072.0,,,,,3,1,,1,,,1,,0.0,,,
15.0,1685295993827.0,77,56,6,,2,,,,2,,268,156,16.85,6.07,5,
4.0,1684023590084.0,104,2,,,,,,,1,,87,12,,,2,
7.0,1686057530746.0,,4,,9,,3,4,6,,,11,59,8.139999999999999,7.78,,1
8.0,1686325526174.0,,49,,,,,,,,,,70,,,,
10.0,1684860347227.0,5,2,,,6,1,1,,,,14,64,,,,
10.0,1686490580486.0,,,,,,,,,,,,,,,,
11.0,1684932756971.0,,,,,1,5,,,3,,,,,,,
18.0,1685130670270.0,,,,,2,2,3,1,2,,29,46,,,,
4.0,1685242092955.0,109,2,,2,,,3,3,,,60,40,,,1,5
8.0,1686421012028.0,,,,,,,,,,,,,,,,
9.0,1683721902624.0,,,,,,,,,,,,,,,,
10.0,1684070189259.0,1,,,,1,,,,,,71,,,,,
10.0,1685114482348.0,28,58,9,1,3,8,7,5,,,116,238,,,14,
15.0,1686229117381.0,9,50,,,1,1,,,,3,65,113,4.83,4.9,,6
15.0,1686588549879.0,,,,,,,,,,,,,,,,
17.0,1684053547438.0,4,10,,1,,2,2,4,,,77,88,2.12,2.3500000000000005,,
17.0,1685376936504.0,14,1,18,1,3,4,11,12,4,2,136,122,2.400000000000001,2.5,,
17.0,1686240531703.0,45,1,18,,1,8,10,4,,,85,23,2.38,2.3600000000000003,,
20.0,1685177610225.0,,12,,,,19,,5,,,,,,,,
1.0,1685156808750.0,1,7,,,,,2,,,,,1,78.07000000000001,134.07999999999996,,
4.0,1684038712461.0,38,104,,,,,,,,1,35,87,,,2,2
7.0,1683813641325.0,,,,,,,,,,,,,,,,
7.0,1684250274579.0,,8,,,,2,,,,,,50,8.69,8.12,,
8.0,1685034473833.0,,,,,,,,,,7,4,44,,,,
10.0,1684654812026.0,,16,,,,6,,1,,,,83,,,,
11.0,1685006346158.0,,,,19,3,7,,,,1,,,44.78,,,
15.0,1684409502334.0,,,,,1,,,,,,31,1,23.81,22.95,,
17.0,1685280705342.0,6,13,,,1,3,1,9,,,59,84,2.380000000000001,2.2300000000000004,,
17.0,1685870370544.0,1,2,,,2,5,3,1,,,63,19,2.49,2.4800000000000004,,
18.0,1685572378994.0,,,,,3,6,5,1,,,21,136,,,,
20.0,1686105579187.0,,,9,,10,3,8,7,,,,,,,,
4.0,1685367885187.0,2,,,,,,1,,,,21,,,,,
4.0,1685621263772.0,91,121,,,,,,,,,10,21,,,3,5
6.0,1685644361130.0,2,1,,,3,4,1,2,,2,30,269,,0.0,,
10.0,1685979161365.0,30,44,1,1,7,1,4,2,,,123,242,,,3,
11.0,1685635332031.0,,,,2,1,3,,,,,,,6.230000000000001,37.93000000000001,,
11.0,1686044822701.0,,,6,,1,11,,2,4,4,42,113,0.0,,,
15.0,1685186878582.0,39,122,,,2,,,,,,96,94,5.91,23.71,,6
15.0,1685367147781.0,37,77,,6,,2,,,1,2,228,268,93.1,16.85,3,5
18.0,1684081160903.0,7,,,,1,,4,,2,,63,,,,,106
1.0,1685248400755.0,1,5,,1,,,,,,,,,4.500000000000001,4.41,,
3.0,1685191375303.0,51,24,,,,,3,5,,,45,11,,,,
4.0,1684053887620.0,38,104,,,,,,,,1,35,87,,,2,2
4.0,1685012842039.0,,2,,,,,1,1,,,13,23,,,,
4.0,1685449885690.0,1,13,,16,,,,,,,3,53,,,,
7.0,1685279752339.0,2,,,,1,,1,,,,20,,7.660000000000002,7.649999999999999,,
8.0,1684683172150.0,21,59,6,,,,,,,,44,143,,,,
9.0,1685968313958.0,,74,,,1,2,,3,,4,12,95,,,,
9.0,1686064849612.0,50,,,,1,1,4,1,,7,40,54,,,,
11.0,1683883197970.0,,,,,1,,1,,,,,,,,,
11.0,1685106107965.0,,,,,2,2,,,,,,,6.29,6.38,,
17.0,1685351977007.0,1,32,1,,4,8,12,5,2,,122,264,2.5,2.41,,
17.0,1686653040060.0,,,,,,,,,,,,,,,,
17.0,1686666195583.0,,,,,,,,,,,,,,,,
3.0,1686394138248.0,,,,,,,,,,,,,,,,
4.0,1684331760852.0,34,111,1,,,,2,,,,43,59,,,,
4.0,1684753740179.0,,8,,,,,,,,,7,17,,,,
6.0,1685382940600.0,5,6,,,2,3,,2,,,61,230,,0.0,,
7.0,1683644569849.0,,,,,,,,,,,,,,,,
7.0,1683905060100.0,8,3,1,,7,3,3,1,2,3,66,47,8.58,5.69,3,
9.0,1684153907280.0,1,,,,2,,,,,,31,,,,,
9.0,1685249771961.0,24,33,,,,2,2,5,,,212,114,,,,
9.0,1686059809758.0,,18,,,1,1,1,3,7,1,54,20,,,,
11.0,1685100521294.0,,,,,2,2,,,,,,,6.29,6.38,,
14.0,1685976128138.0,1,2,,,,,,1,,,34,25,59.62,26.69,,
17.0,1686487874939.0,,,,,,,,,,,,,,,,
1.0,1684860487198.0,,,,,,,2,,,,,,4.970000000000001,5.070000000000001,,
3.0,1686146613171.0,113,134,,3,,,4,3,,,,10,,,,
4.0,1685632026094.0,167,91,1,,,,,,,,8,10,,,,3
9.0,1685854612087.0,32,63,,,,2,4,4,5,1,79,76,,,,
13.0,1686044642642.0,,,,,,,,,,,,,,,,
15.0,1685100548601.0,46,59,,,2,2,,,,,174,138,6.07,20.57,,
2.0,1684726083537.0,,,,,,1,10,,,,,,,,3,
8.0,1685897610283.0,1,24,,,,,,,4,5,1,59,,,,
11.0,1685166617688.0,,,,,2,3,,,,,,,6.260000000000001,6.72,,1
11.0,1685231014135.0,,,,,7,2,,,,,2,,6.29,6.260000000000001,,
13.0,1684931496838.0,,11,,6,1,4,,18,,1,26,117,,,,1
15.0,1684841493322.0,21,78,,,1,4,1,,,,107,148,5.99,22.380000000000003,,
15.0,1685639341181.0,59,32,,,3,,,,,,104,109,6.080000000000001,6.190000000000002,2,1
19.0,1684158088335.0,8,31,,,4,2,,9,,4,29,105,59.43,8.450000000000003,,1
8.0,1685287979093.0,90,6,4,,,,,,,,156,89,,,,
11.0,1684161244138.0,,,,,7,2,,,1,,,,,0.0,,
